# import random
# n = 20
# ls = [round(random.uniform(-10, 10), 1) for _ in range(n)]
# print('\n'.join(["{};{}".format(x, 2*x+3) for x in ls]))
vtrace1; F x; F y
vtrace1; 7.5;18.0
# vtrace1; -4.4;-5.800000000000001
vtrace1; -7.9;-12.8
vtrace1; 0.1;3.2
vtrace1; 0.1;3.2
vtrace1; -9.6;-16.2
vtrace1; -2.9;-2.8
vtrace1; 3.6;10.2
vtrace1; -4.3;-5.6
vtrace1; 6.6;16.2
vtrace1; 7.0;17.0
vtrace1; 6.7;16.4
vtrace1; 3.0;9.0
vtrace1; 5.7;14.4
# vtrace1; -1.4;0.20000000000000018
vtrace1; -3.0;-3.0
vtrace1; 0.7;4.4
vtrace1; 0.2;3.4
vtrace1; 0.9;4.8
vtrace1; -3.7;-4.4
