vtrace1; I x8; I x9; I y8; I y9; I xy
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 1; 1; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 1; 1; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 1; 1; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 1; 1; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 1; 1; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 1; 1; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 1; 1; 0; 0; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 1; 0; 0; 0; 0
vtrace1; 1; 1; 0; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 0; 1; 1; 0
vtrace1; 0; 0; 0; 1; 0
vtrace1; 0; 0; 1; 0; 0
vtrace1; 0; 0; 0; 0; 0
vtrace1; 0; 1; 0; 0; 0
vtrace1; 1; 1; 0; 0; 0
